,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
0,NonResidential,Hotel,Mayflower park hotel,98101.0,7,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,,,,,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,3946027.0,1276453.0,False,Compliant,249.98,2.83
1,NonResidential,Hotel,Paramount Hotel,98101.0,7,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,3242851.0,5145082.0,False,Compliant,295.86,2.86
2,NonResidential,Hotel,5673-The Westin Seattle,98101.0,7,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,,,,,43.0,96.0,97.69999695,241.8999939,244.1000061,72587024.0,73937112.0,21566554.0,49526664.0,1493800.0,False,Compliant,2089.28,2.19
3,NonResidential,Hotel,HOTEL MAX,98101.0,7,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,,,,,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,2768924.0,1811213.0,False,Compliant,286.43,4.67
4,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),98121.0,7,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,14656503.0,0.0,5368607.0,8803998.0,False,Compliant,505.01,2.88
5,Nonresidential COS,Other,West Precinct,98101.0,7,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,,,,,,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,7371434.0,4715182.0,False,Compliant,301.81,3.1
6,NonResidential,Hotel,Camlin,98101.0,7,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,,,,,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,2811215.0,2947580.0,False,Compliant,176.14,2.12
7,NonResidential,Other,Paramount Theatre,98101.0,7,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,3636655.0,385189.0,False,Compliant,221.51,2.16
8,NonResidential,Hotel,311wh-Pioneer Square,98104.0,7,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,,,,,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,7297919.0,6425900.0,False,Compliant,392.16,2.39
9,Multifamily MR (5-9),Mid-Rise Multifamily,Lyon Building,98104.0,7,DOWNTOWN,47.60284,-122.33184,1910,1.0,6,63712,1496,62216,Multifamily Housing,Multifamily Housing,56132.0,,,,,1.0,81.5,85.59999847,182.6999969,187.3999939,4573777.0,4807679.5,1039735.188,2532015.0,1002026.0,False,Compliant,151.12,2.37
10,NonResidential,Hotel,Hotel Monaco Seattle,98101.0,7,DOWNTOWN,47.60695,-122.33414,1969,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,,,,,30.0,119.5999985,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,6187627.0,4591850.0,False,Compliant,691.26,4.51
11,NonResidential,Hotel,5679-W Seattle,98101.0,7,DOWNTOWN,47.60713,-122.33323,1998,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,,,,,36.0,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,18083049.0,2858700.0,False,Compliant,740.97,2.22
12,NonResidential,Hotel,Executive Pacific Plaza,98104.0,7,DOWNTOWN,47.60699,-122.33346,1928,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,,,,,48.0,101.5,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,1343000.0,3596705.0,False,Compliant,328.23,5.05
13,NonResidential,Hotel,Crowne Plaza Hotel Seattle,98101.0,7,DOWNTOWN,47.60809,-122.33212,1980,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,58.0,75.5,76.19999695,179.8999939,180.6999969,22325364.0,22524948.0,4337738.5,13904183.0,4083440.0,False,Compliant,648.62,2.05
14,NonResidential,Hotel,Hotel Vintage Seattle,98101.0,7,DOWNTOWN,47.60755,-122.33244,1922,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,35.0,159.5,165.8999939,297.3999939,303.8999939,10750010.0,11179203.0,4870847.5,3832369.0,2046793.0,False,Compliant,511.39,5.55
15,Nonresidential COS,Other,The Seattle Public Library - Central Library,98154.0,7,DOWNTOWN,47.60649,-122.33297,2004,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,737559.5,17851297.0,0.0,False,Compliant,181.38,0.44
